5   1762.5341098545 1402.7567589533 3644.096989919  2269.7959529089 694.9550203192
10  6206.635980024  6667.7279466982 12472.2541065871    8448.8726777698 2016.089452525
15  10134.9436069568    3986.7286785701 15213.3337263445    9778.3353372905 3245.742971862
20  7562.0031084559 5987.1836849245 11564.6125746369    8371.2664560058 1660.1313832762
25  21036.2316220578    6922.4302749027 6044.5273887925 11334.3964285843    4857.533083104
30  18190.2311637314    10669.4940825986    33974.2072065664    20944.6441509654    6867.0106700027
35  1953.7654830572 33530.3239867555    26449.8877946166    20644.6590881431    9566.3520038591
40  28453.3724804316    45606.3290183095    39640.9520765665    37900.2178584359    5027.5440064777
45  26325.6182818256    45787.5457875458    27998.7785532856    33370.6475408857    6227.2087881712
50  29315.2507095207    38143.6441960869    43259.0854218234    36905.993442477 4072.5285414158
55  33791.061419478 38635.4443981624    33515.0828346219    35313.8628840875    1662.7005002714
60  30634.5565456474    21947.0609456166    48610.4254171762    33730.6809694801    7851.1833730485
65  29762.5691049651    35055.3929983425    45052.1478611493    36623.3699881523    4482.8085882186
70  42435.1968131167    24515.5873168609    30898.6485703582    32616.4775667786    5243.7678397085
75  33842.5938656068    42218.1411352458    59234.0299502064    45098.2549836863    7469.9966185749
80  27865.0010362297    28644.4463341822    34045.4506766533    30184.9660156884    1943.3124732686
85  15455.2413794769    43814.9693842901    22121.6761317484    27130.6289651718    8561.2644995223
90  52052.071591118 31873.4623544528    2127.9308007543 28684.488248775 14499.7945422113
95  29702.4832204175    38261.5848905001    44302.7372169297    37422.2684426158    4235.5713217713
100 53595.7739732222    47887.0583728277    15229.1028154804    38903.9783871768    11951.5990346205
105 34369.3914791834    40794.6803736793    27296.8136088264    34153.6284872297    3897.9916646034
110 42850.466601409 39575.3564255538    32915.3089101741    38447.0439790456    2922.9925487495
115 37983.9090665217    35216.1888820291    46218.8636514635    39806.3205333381    3304.3204387728
120 25004.3171516332    31991.0105260422    15377.614134334 24124.3139373365    4816.0163053394
125 21283.8837766922    28974.7729328537    62658.3592125411    37639.0053073623    12705.1629450069
130 48331.9437899494    25400.7564662785    23002.3368936638    32245.0123832972    8073.209309672
135 31930.4554679907    30284.1027388185    46084.4757242823    36099.6779770305    5014.9695534921
140 28554.448872367 21211.4242079356    40331.2709769872    30032.3813524299    5568.6727452097
145 36891.6480767346    29147.5879004719    38279.75563161  34772.9972029388    2841.1050086886
150 34910.9824495945    20337.0096715192    33641.5742574674    29629.855459527 4660.8506526646
155 37737.8516548638    38413.7521232601    38004.1638311998    38051.9225364412    196.5714723617
