5   565.2352085011  1.4064252805
10  378.213681653   1.8299850452
15  233.3178975868  5.0237136223
20  773.3087121659  15.0560830623
25  454.5404226097  26.8544587578
30  365.2222542212  40.6397062932
35  203.3408535426  55.9224161132
40  283.4298214404  72.9890765892
45  336.6694062863  90.793020186
50  233.4215782169  110.2718054608
55  140.3910125123  129.9022761217
60  207.5131884696  151.1053766608
65  242.4895952807  172.470911346
70  149.2441398456  191.3052202102
75  135.9441542284  208.5314853264
80  210.2547737411  225.0210025395
85  289.1808619527  239.2929729182
90  111.0778182503  253.7996014322
95  173.242400153   267.698321556
100 172.4763398639  280.1925169382
105 88.2092949209   292.7956516495
110 109.7432844704  304.7508388915
115 89.4651861621   316.302618336
120 106.0883039004  327.7945548886
125 157.801405035   338.9315037603
130 114.9456316071  350.1300780932
135 150.9000440673  361.0200712977
140 111.7893955041  370.7498195286
145 105.7117074692  380.847910169
150 102.2640666103  390.5110891551
155 74.6273205085   399.6425990879
160 110.7432129292  409.0786278567
165 101.4321867731  417.9821109734
170 152.8248871954  426.0362023477
175 203.4579170452  434.9310507085
180 68.9640736569   443.4777960118
185 87.3137978036   451.8990626192
190 104.73943536    459.1853446
195 91.5865594368   467.0226580846
200 123.0167983707  474.8819606433
205 99.6645577025   481.8759239121
210 71.7499880048   489.4034748968
215 108.1695411572  497.1666589615
220 90.1918433902   504.124194503
225 69.0460617104   511.3142056892
230 104.9895210536  517.6996810281
235 112.4841277444  525.2164021075
240 109.7606588927  533.1503148235
245 82.7952549748   539.1227784448
250 79.8308096475   545.6074047206
255 73.2755570026   552.2658939925
260 81.8566159644   558.8572429578
265 76.0113161087   564.3919588269
270 90.7747077959   567.3036957587
275 66.3105045963   567.9047454105
280 68.4284262987   565.8479677282
285 59.7826386357   563.0853222345
290 92.2435362187   560.4766289501
295 76.0848379725   557.8810930211
300 75.1242478997   555.3025746851
